Label,Field Name,Required in GBL?,Default text display on item show page,Default facet,Relation widget,Part of Search results snippet view,Notes
Access Rights,`dct_accessRights_s`,yes,no,no,no,icon,"If set to ""Restricted"", a closed padlock icon appears next to the title. Downloads and web service previews will be hidden unless a user logs in using an authentication process. If set to ""Public"", an open padlock icon appears next to the title. Downloads and web services are accessible."
Provider,`schema_provider_s`,no,yes,yes,no,icon,May control which records an authenticated user has access to.
Resource Type,`gbl_resourceType_sm`,no,yes,yes,no,no,
Alternative Title,`dct_alternative_sm`,no,yes,no,no,no,
Bounding Box,`dcat_bbox`,conditional,no,no,no,no,Rectangular extent required for overlap ratio boosting as part of the overall relevance ranking algorithm.
Centroid,`dcat_centroid`,conditional,no,no,no,no,Can be leveraged for homepage centroid map. Not used in default GeoBlacklight.
Title,`dct_title_s`,yes,yes,no,no,Clickable text,
Creator,`dct_creator_sm`,no,yes,yes,no,text on expanded view,
Description,`dct_description_sm`,no,yes,no,no,text on expanded view,
Index Year,`gbl_indexYear_im`,conditional,yes,yes,no,text on expanded view,Can be used with the Date Range plugin
Date Issued,`dct_issued_s`,no,yes,no,no,no,
Date Range,`gbl_dateRange_drsim`,conditional,yes,no,no,no,
Display Note,`gbl_displayNote_sm`,no,yes,no,no,no,Text displays within a callout box
File Size,`gbl_fileSize_s`,no,yes,no,no,no,
Format,`dct_format_s`,conditional,yes,yes,no,no,Required if a Download link is included. This value displays on the item show in the button under the download widget.
Geometry,`locn_geometry`,conditional,no,no,no,no,Required for the map search
Georeferenced,`gbl_georeferenced_b`,no,yes,yes,no,no,
ID,`id`,yes,no,no,no,no,Functions as the slug (end part) of the item's URL
Identifier,`dct_identifier_sm`,no,no,no,no,no,
Is Part Of,`dct_isPartOf_sm`,no,no,no,yes,no,
Is Replaced By,`dct_isReplacedBy_sm`,no,no,no,no,no,Not used in GeoBlacklight
Is Version Of,`dct_isVersionOf_sm`,no,no,no,yes,no,
Keyword,`dcat_keyword_sm`,no,yes,no,no,no,
Language,`dct_language_sm`,no,yes,no,no,no,3 digit code
License,`dct_license_sm`,no,yes,no,no,no,
Member Of,`pcdm_memberOf_sm`,no,no,no,yes,no,
Metadata Version,`gbl_mdVersion_s`,yes,no,no,no,no,May be required by some harvesters in OpenGeoMetadata
Modified,`gbl_mdModified_dt`,yes,no,no,no,no,
Publisher,`dct_publisher_sm`,no,yes,yes,no,no,
References,`dct_references_s`,no,no,no,no,no,See https://opengeometadata.org/reference-uris/ for how different references function in GeoBlacklight
Relation,`dct_relation_sm`,no,no,no,yes,no,-
Replaces,`dct_replaces_sm`,no,no,no,yes,no,-
Resource Class,`gbl_resourceClass_sm`,yes,yes,yes,no,icon,"GBL will display an icon associated with the value. If multivalued, the first value will be used. Note: there is currently no icon for ""Web services""."
Rights,`dct_rights_sm`,no,yes,no,no,no,-
Rights Holder,`dct_rightsHolder_sm`,no,yes,no,no,no,-
Source,`dct_source_sm`,no,no,no,yes,no,-
Spatial Coverage,`dct_spatial_sm`,no,yes,yes,no,no,-
Subject,`dct_subject_sm`,no,yes,yes,no,no,-
Suppressed,`gbl_suppressed_b`,no,no,no,no,no,Hides items from search results. Items are only visible as  child or related records in the Relations widgets.
Temporal Coverage,`dct_temporal_sm`,no,yes,no,no,no,-
Theme,`dcat_theme_sm`,no,yes,yes,no,no,-
WxS Identifier,`gbl_wxsIdentifier_s`,no,no,no,no,no,Required if a OCG web service is included
